t,Xx1,Xx2,Xx3,Xy1,Xy2,Xy3,Xt1,Xt2,Xt3,Zx1,Zx2,Zx3,Zy1,Zy2,Zy3,Zt1,Zt2,Zt3,Rx1,Rx2,Rx3,Ry1,Ry2,Ry3,Rt1,Rt2,Rt3,P11,P12,P13,P14,P15,P16,P17,P18,P19,P21,P22,P23,P24,P25,P26,P27,P28,P29,P31,P32,P33,P34,P35,P36,P37,P38,P39,P41,P42,P43,P44,P45,P46,P47,P48,P49,P51,P52,P53,P54,P55,P56,P57,P58,P59,P61,P62,P63,P64,P65,P66,P67,P68,P69,P71,P72,P73,P74,P75,P76,P77,P78,P79,P81,P82,P83,P84,P85,P86,P87,P88,P89,P91,P92,P93,P94,P95,P96,P97,P98,P99
0,-0.6,-0.0024286946422757633,-0.09714778569103052,-0.6,-0.0024382391826287863,-0.09752956730515143,-1.3541189271079839,-5.134709215056417e-09,0.0006750324729089787,0.0,0.0,-0.09816227108240128,0.0,0.0,-0.09816227108240128,-2.030501670351149,0.0,0.0,0.0,0.0,0.0010144853913707508,0.0,0.0,0.0006327037772498462,0.676382743243165,5.134709215056417e-09,0.0,2.0025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,1.2512601952300413,0.00040780920165609663,0.0,2.724104386817726e-06,0.00010896417547270903,8.320026025193502e-10,1.2513339941956091e-07,4.9961756281287e-09,0.0,0.0004078092016560953,0.01631236806624381,0.0,0.00010896417547270903,0.004358567018908361,3.328010410077401e-08,5.005335976782438e-06,1.9984702512514797e-07,0.0,0.0,0.0,2.0025,0.025,0.0,0.0,0.0,0.0,0.0,2.724104386817725e-06,0.000108964175472709,0.025,1.2512553319070712,0.00021327628285093547,-8.208904375273741e-10,-1.234621270267265e-07,-4.9294470773518834e-09,0.0,0.000108964175472709,0.00435856701890836,0.0,0.0002132762828509327,0.008531051314037308,-3.2835617501094955e-08,-4.938485081069058e-06,-1.971778830940753e-07,0.0,8.320026025193502e-10,3.328010410077401e-08,0.0,-8.208904375273746e-10,-3.283561750109498e-08,0.666888851608589,4.144703356565027e-09,-0.00033244609042243177,0.0,1.2513339941956091e-07,5.005335976782436e-06,0.0,-1.234621270267265e-07,-4.938485081069059e-06,4.144703362051092e-09,6.233644212780709e-07,2.4888943667145116e-08,0.0,4.996175628128699e-09,1.9984702512514794e-07,0.0,-4.9294470773518834e-09,-1.9717788309407534e-07,-0.0003324460904224316,2.4888943662981777e-08,1.9980036612270133
1,-0.60012683304219,-0.006341652109506176,-0.4728037180174549,-0.6001196807526247,-0.0059840376312326245,0.30319715636292555,-1.776879354703997,3.84414741571107e-06,0.000755994816071555,0.0,0.0,-0.4771538893526795,0.0,0.0,0.30498017596817123,-2.030501670351149,0.0,0.0,0.0,0.0,0.004350171335224584,0.0,0.0,0.0017830196052456837,0.253622315647152,3.84414741571107e-06,0.0,3.0081281500581363,0.0437825029068175,3.4706817719753174e-07,6.647624586268587e-09,3.323812293134293e-07,1.3142605812902787e-07,1.313699326169887e-10,7.353400004400093e-11,-5.431980479298542e-11,0.043782502906817504,1.3128751453408747,1.7353408859876404e-05,3.323812293134294e-07,1.6619061465671465e-05,6.57130290645136e-06,6.568496630849437e-09,3.67670000220002e-09,-2.7159902396492743e-09,3.4706817719752904e-07,1.735340885987645e-05,0.016176034530054263,1.314260580833168e-07,6.57130290416584e-06,0.004307050163200076,1.2189030802195805e-09,4.976357811013862e-06,4.940818752636713e-07,6.647624586268585e-09,3.3238122931342916e-07,1.3142605808331747e-07,3.0081281381901825,0.043781909509122106,1.1243420195093681e-07,-1.3060178990448432e-10,-2.554593926926398e-11,5.87294977560094e-11,3.323812293134292e-07,1.6619061465671465e-05,6.571302904165803e-06,0.043781909509122106,1.3128454754561054,5.6217100975469355e-06,-6.530089495224213e-09,-1.2772969634631122e-09,2.9364748878004705e-09,1.3142605812902736e-07,6.571302906451368e-06,0.004307050163200074,1.1243420195093636e-07,5.621710097546818e-06,0.00848669043908211,-4.036082942858139e-10,-4.928225841736168e-06,-4.896799979829826e-07,1.3136993261698874e-10,6.568496630849435e-09,1.218903080219633e-09,-1.3060178990448437e-10,-6.530089495224219e-09,-4.0360829428586093e-10,0.6250312423931772,-2.8239278743771553e-12,-0.00012403752399326714,7.35340000440011e-11,3.676700002200054e-09,4.976357811013864e-06,-2.554593926926303e-11,-1.2772969634631509e-09,-4.92822584173617e-06,-2.823927874575887e-12,6.233401170603192e-07,6.196179948586618e-08,-5.431980479298547e-11,-2.7159902396492776e-09,4.940818752636713e-07,5.87294977560095e-11,2.9364748878004754e-09,-4.896799979829826e-07,-0.00012403752399326728,6.196179948292357e-08,2.988073181515979
2,-0.6004435545023672,-0.026556846251975248,-0.12421022276299853,-0.6004187725874308,0.01219081862877951,0.18158046800098437,-1.9338846777963157,-2.3340528812742243e-06,0.0007617097470988129,0.0,0.0,-0.11909518410819231,0.0,0.0,0.18204974917108602,-2.030501670351149,0.0,0.0,0.0,0.0,0.0051150386548062254,0.0,0.0,0.00046928117010164305,0.09661699255483325,2.3340528812742243e-06,0.0,4.015788588210542,0.05471318976858626,2.1248458164016697e-08,8.143268776614621e-08,6.042214405572367e-07,8.968088335401373e-09,1.7999018557920217e-10,3.716553711838634e-12,-2.073087390358572e-10,0.05471318976858626,1.328259402856401,1.3917373449757938e-05,6.042214405593176e-07,1.4989325901519018e-05,5.2717348700508266e-06,5.993315522205051e-09,2.9473607689389866e-09,4.954366717035429e-09,2.12484581640167e-08,1.3917373449758084e-05,0.01617599239794217,8.968088333288777e-09,5.271734867755586e-06,0.0043070317007300315,1.1078143119203965e-09,4.976351028842189e-06,7.39396285598939e-07,8.14326877661462e-08,6.042214405593174e-07,8.968088333288782e-09,4.01578844282938,0.054712111056612535,5.237795632041203e-09,-1.758428702620379e-10,3.3088611581051514e-13,2.1067866981929375e-10,6.042214405572367e-07,1.4989325901519011e-05,5.271734867755551e-06,0.054712111056612535,1.3282326425261637,4.505783942626144e-06,-5.937955550365152e-09,-1.021154876517763e-09,-4.653861091922611e-09,8.968088335401335e-09,5.271734870050859e-06,0.004307031700730031,5.237795632041208e-09,4.505783942626145e-06,0.008486681267772618,-3.777139126226335e-10,-4.928227903489114e-06,-7.31338503807595e-07,1.7999018557920232e-10,5.9933155222050555e-09,1.1078143119203921e-09,-1.7584287026203807e-10,-5.937955550365154e-09,-3.7771391262257197e-10,0.6190521532576891,-5.281281804466094e-13,-4.690117405771621e-05,3.7165537118386506e-12,2.9473607689390192e-09,4.97635102884219e-06,3.308861158105486e-13,-1.0211548765177633e-09,-4.928227903489115e-06,-5.281281786550363e-13,6.233401159620931e-07,9.243995346971991e-08,-2.0730873903585756e-10,4.954366717035426e-09,7.393962855989392e-07,2.1067866981929419e-10,-4.653861091922598e-09,-7.313385038075949e-07,-4.690117405771631e-05,9.243995349739187e-08,3.965917239369629
3,-0.6017713627457449,-0.019441625117696655,-0.04050458898151951,-0.5998092304499677,0.015152930728506162,0.08845044447506241,-1.9936116377011492,-8.754915743908672e-07,0.0007560445212134569,0.0,0.0,-0.039551681325663474,0.0,0.0,0.0880206026124663,-2.030501670351149,0.0,0.0,0.0,0.0,0.000952907655856039,0.0,0.0,0.0004298418625961059,0.03689003264999968,8.754915743908672e-07,0.0,5.024580555693975,0.060563115189734125,1.25481660540349e-08,1.7932789749294927e-07,6.902089235009599e-07,5.3026842816513554e-09,1.8598408703471517e-10,2.1891501919552694e-12,2.5513046452769223e-11,0.060563115189734125,1.3321052983132446,1.3887288119674678e-05,6.902089235021144e-07,1.4518126502523996e-05,5.259041497388487e-06,5.888054459788265e-09,2.9420951210434447e-09,1.4923333675167293e-08,1.2548166054035081e-08,1.3887288119674873e-05,0.01617599238472065,5.302684281167301e-09,5.259041495109452e-06,0.00430703169474003,1.1169498606395805e-09,4.976351034293908e-06,9.799652782131662e-07,1.7932789749294922e-07,6.90208923502114e-07,5.3026842811672645e-09,5.024580235541234,0.06056188296495565,3.0813225078057186e-09,-1.814729657462623e-10,2.0901999961589886e-13,-1.6795456729171636e-11,6.902089235009598e-07,1.4518126502523994e-05,5.25904149510943e-06,0.06056188296495565,1.332079379211733,4.498359993589722e-06,-5.835337693874234e-09,-1.0216146349511937e-09,-1.4421612605140683e-08,5.302684281651372e-09,5.259041497388494e-06,0.00430703169474003,3.081322507805727e-09,4.498359993589713e-06,0.008486681265137335,-3.858713926611091e-10,-4.928227911760149e-06,-9.68647591112498e-07,1.8598408703471535e-10,5.888054459788267e-09,1.1169498606395878e-09,-1.8147296574626239e-10,-5.835337693874235e-09,-3.858713926611077e-10,0.6181824794274259,3.8284749882464935e-13,-1.773130283973531e-05,2.189150191955288e-12,2.9420951210434348e-09,4.9763510342939056e-06,2.0901999961590754e-13,-1.0216146349511546e-09,-4.928227911760148e-06,3.8284749892782257e-13,6.233401169331359e-07,1.2239465826800547e-07,2.5513046452768548e-11,1.492333367516729e-08,9.799652782131656e-07,-1.679545672917053e-11,-1.442161260514066e-08,-9.686475911124977e-07,-1.773130283973482e-05,1.2239465824182005e-07,4.926982036334235
4,-0.6027434392985827,-0.011743693328827179,-0.046584743938874046,-0.5990515778662756,0.012012028954273411,0.12241169123751654,-2.0164117513609323,1.9764866903408023e-07,0.0007472324126871112,0.0,0.0,-0.04653682445528923,0.0,0.0,0.12267372226154183,-2.030501670351149,0.0,0.0,0.0,0.0,4.7919483584818456e-05,0.0,0.0,0.00026203102402529155,0.01408991899021661,1.9764866903408023e-07,0.0,6.03396713045818,0.0635842247854492,1.2367834111913803e-08,2.8464386424190184e-07,7.212115957619836e-07,5.223686529010439e-09,1.8629132961755332e-10,2.160090401117685e-12,7.444984497063677e-10,0.0635842247854492,1.3330667706995056,1.388702224781261e-05,7.212115957625844e-07,1.4399703516000178e-05,5.25892497190939e-06,5.869963732190463e-09,2.942052627316099e-09,2.5823321531595203e-08,1.2367834111914047e-08,1.388702224781245e-05,0.016175992384775118,5.223686529395132e-09,5.258924969649793e-06,0.004307031694680048,1.1200958928123258e-09,4.97635104162719e-06,1.215266557537688e-06,2.846438642419018e-07,7.21211595762584e-07,5.223686529395116e-09,6.033966622285639,0.06358293721183363,3.0420243553201415e-09,-1.817265115998103e-10,2.0025567203843787e-13,-7.226767230761735e-10,7.212115957619836e-07,1.4399703516000176e-05,5.2589249696498e-06,0.06358293721183363,1.3330410630176566,4.498302148918645e-06,-5.817770058131986e-09,-1.0216279636292735e-09,-2.5096457866337667e-08,5.223686529010479e-09,5.258924971909409e-06,0.004307031694680049,3.0420243553201527e-09,4.4983021489186135e-06,0.008486681265193646,-3.8872771925407674e-10,-4.92822791899523e-06,-1.2007683433487335e-06,1.8629132961755342e-10,5.869963732190464e-09,1.1200958928123177e-09,-1.8172651159981036e-10,-5.8177700581319835e-09,-3.887277192540751e-10,0.6180556522462842,7.273293230649102e-13,-6.689106903734871e-06,2.160090401117727e-12,2.9420526273160935e-09,4.976351041627191e-06,2.00255672038435e-13,-1.0216279636292607e-09,-4.928227918995231e-06,7.273293229934987e-13,6.2334011780306e-07,1.5169438262303968e-07,7.444984497063669e-10,2.582332153159517e-08,1.2152665575376882e-06,-7.226767230761714e-10,-2.509645786633764e-08,-1.2007683433487337e-06,-6.689106903735181e-06,1.516943826107564e-07,5.867032597695572
5,-0.6033306207282368,-0.008202647562821826,-0.0640097428400353,-0.5984509678778418,0.012147513938087627,0.18074472926359553,-2.025119848072931,3.742143025680281e-07,0.0007365102361219509,0.0,0.0,-0.06404036741375829,0.0,0.0,0.18116473331791938,-2.030501670351149,0.0,0.0,0.0,0.0,3.0624573722992654e-05,0.0,0.0,0.00042000405432385257,0.005381822278217818,3.742143025680281e-07,0.0,7.043658219862922,0.0651188163834523,1.2364399135672274e-08,3.927640408881435e-07,7.337481916996428e-07,5.2221601454679834e-09,1.8607160878582402e-10,2.1595931130872864e-12,1.9850818079243742e-09,0.06511881638345228,1.3333071387830113,1.3887019891947337e-05,7.337481916999253e-07,1.437009204697427e-05,5.258923921189312e-06,5.866826397586994e-09,2.9420526078446908e-09,3.7000723395758565e-08,1.2364399135672062e-08,1.3887019891947318e-05,0.016175992384832562,5.222160147096909e-09,5.258923918950082e-06,0.004307031694623483,1.1211966742224217e-09,4.976351048767152e-06,1.444344666328374e-06,3.927640408881434e-07,7.33748191699925e-07,5.222160147096946e-09,7.043657518664247,0.06511750642834643,3.041313864051485e-09,-1.8149682149168496e-10,2.0000758406653796e-13,-1.9415207815082153e-09,7.337481916996429e-07,1.437009204697427e-05,5.258923918950099e-06,0.06511750642834642,1.3332814839662936,4.498301663873859e-06,-5.814725359477697e-09,-1.0216284493405706e-09,-3.604136490063426e-08,5.222160145467996e-09,5.2589239211893e-06,0.004307031694623485,3.0413138640514644e-09,4.498301663873846e-06,0.008486681265249488,-3.8977664475494233e-10,-4.928227926038684e-06,-1.4267501849022152e-06,1.8607160878582402e-10,5.866826397586995e-09,1.1211966742224506e-09,-1.8149682149168504e-10,-5.814725359477698e-09,-3.8977664475494337e-10,0.6180371496126037,8.574152880367985e-13,-2.5169220968071026e-06,2.1595931130872153e-12,2.9420526078446672e-09,4.976351048767152e-06,2.0000758406658355e-13,-1.0216284493405332e-09,-4.9282279260386835e-06,8.574152879769533e-13,6.233401190586206e-07,1.8021921022710685e-07,1.9850818079243717e-09,3.700072339575856e-08,1.4443446663283743e-06,-1.941520781508212e-09,-3.6041364900634266e-08,-1.4267501849022152e-06,-2.516922096807451e-06,1.8021921027733256e-07,6.7822214160693655
6,-0.6037407560018453,-0.007288975568251285,-0.0008064403004152954,-0.5978436155746507,0.015049346729162421,0.002838631371665068,-2.0284459698322848,-1.1912605639582028e-06,0.0007239158332925012,0.0,0.0,-0.0005503115411676906,0.0,0.0,0.0016010178315520205,-2.030501670351149,0.0,0.0,0.0,0.0,0.0002561287592476048,0.0,0.0,0.0012376135401130474,0.0020557005188641675,1.1912605639582028e-06,0.0,8.053503369347675,0.06589212138436698,1.23643364438742e-08,5.020638484581372e-07,7.392761254054051e-07,5.222131521766227e-09,1.8592906092275802e-10,2.1596382935019632e-12,3.7467569108532985e-09,0.06589212138436697,1.3333672308037718,1.388701987377407e-05,7.392761254054754e-07,1.4362689128144168e-05,5.258923909089306e-06,5.866279715936906e-09,2.9420529509054488e-09,4.811104367705699e-08,1.2364336443874153e-08,1.388701987377394e-05,0.016175992384888066,5.2221315250815126e-09,5.258923906870507e-06,0.004307031694568668,1.1215986415515326e-09,4.976351055686581e-06,1.666347156193946e-06,5.020638484581369e-07,7.392761254054751e-07,5.222131525081497e-09,8.053502473016879,0.06589080156028264,3.0413014838346867e-09,-1.8135222097275588e-10,1.999494731011171e-13,-3.6726463461504344e-09,7.392761254054051e-07,1.4362689128144171e-05,5.258923906870471e-06,0.06589080156028264,1.333341589203429,4.4983016623098735e-06,-5.814195093744849e-09,-1.0216287897834939e-09,-4.6919838887993284e-08,5.222131521766212e-09,5.258923909089286e-06,0.004307031694568665,3.0413014838346826e-09,4.498301662309871e-06,0.008486681265303473,-3.901677776760771e-10,-4.928227932864592e-06,-1.6457520409336705e-06,1.8592906092275805e-10,5.86627971593691e-09,1.1215986415516083e-09,-1.8135222097275588e-10,-5.814195093744848e-09,-3.901677776761366e-10,0.6180344501403452,9.064488557133464e-13,-9.439488504419621e-07,2.1596382935020065e-12,2.9420529509054405e-09,4.9763510556865815e-06,1.9994947310111506e-13,-1.021628789783467e-09,-4.928227932864592e-06,9.064488557215523e-13,6.233401195210343e-07,2.078629802001298e-07,3.746756910853296e-09,4.811104367705697e-08,1.6663471561939468e-06,-3.6726463461504327e-09,-4.691983888799327e-08,-1.645752040933671e-06,-9.439488504411499e-07,2.0786298021713279e-07,7.669142442335136
7,-0.6041051929408385,-0.003712855026608835,-0.1574865874751014,-0.5970910862528176,0.007826913911605974,0.461604841701369,-2.0297165433640894,3.0406206837768613e-06,0.0007112438505092192,0.0,0.0,-0.15804512389917974,0.0,0.0,0.46482341810804767,-2.030501670351149,0.0,0.0,0.0,0.0,0.0005585364240783264,0.0,0.0,0.0032185764066786637,0.0007851269870595701,3.0406206837768613e-06,0.0,9.06342599956257,0.06628027618534019,1.2364335869177454e-08,6.118979421017334e-07,7.418550178661105e-07,5.222130452782961e-09,1.8586435820882116e-10,2.1597086287885626e-12,6.009004591038188e-09,0.06628027618534019,1.333382253808961,1.3887019876304894e-05,7.418550178660096e-07,1.4360838397876297e-05,5.258923906325358e-06,5.866185257888811e-09,2.942053289240345e-09,5.896707643516349e-08,1.2364335869177345e-08,1.3887019876304884e-05,0.01617599238494157,5.222130458231039e-09,5.2589239041265984e-06,0.004307031694515778,1.1217479834034047e-09,4.976351062362644e-06,1.880541517224181e-06,6.118979421017332e-07,7.418550178660095e-07,5.222130458230963e-09,9.063424907145798,0.0662789517571785,3.041301803008535e-09,-1.8128704478495235e-10,1.998801044239447e-13,-5.895795224860457e-09,7.418550178661106e-07,1.4360838397876287e-05,5.258923904126604e-06,0.0662789517571785,1.333356615512713,4.498301664896891e-06,-5.814103535999405e-09,-1.0216291210875404e-09,-5.7548974642515273e-08,5.222130452782886e-09,5.258923906325356e-06,0.004307031694515776,3.0413018030085535e-09,4.4983016648969426e-06,0.008486681265355721,-3.903143129032741e-10,-4.928227939450417e-06,-1.857051302690845e-06,1.8586435820882132e-10,5.866185257888814e-09,1.1217479834033687e-09,-1.8128704478495222e-10,-5.814103535999402e-09,-3.9031431290322697e-10,0.6180340562931981,9.248961783266636e-13,-3.5211770329092653e-07,2.1597086287885453e-12,2.942053289240347e-09,4.976351062362642e-06,1.9988010442396423e-13,-1.0216291210875305e-09,-4.928227939450418e-06,9.248961783273417e-13,6.233401205238928e-07,2.3453448110006876e-07,6.009004591038183e-09,5.896707643516353e-08,1.8805415172241802e-06,-5.895795224860455e-09,-5.7548974642515293e-08,-1.857051302690845e-06,-3.5211770329030353e-07,2.3453448105836827e-07,8.524869241366156
8,-0.6042908408979546,-0.00971651503949874,-0.08063988525027413,-0.5966997704443248,0.02691603796372585,0.2388816944161074,-2.0302016923054316,-1.4800235058852124e-06,0.0006953861001104228,0.0,0.0,-0.08035608941931122,0.0,0.0,0.23732249541946804,-2.030501670351149,0.0,0.0,0.0,0.0,0.00028379583096291294,0.0,0.0,0.001559198996639366,0.00029997804571735287,1.4800235058852124e-06,0.0,10.073387482815075,0.06647472916095648,1.2364336532274768e-08,7.219852981658377e-07,7.430981957977764e-07,5.222129769316684e-09,1.8583786544873264e-10,2.15979374135323e-12,8.739851373456282e-09,0.06647472916095645,1.3333860095602585,1.3887019878930554e-05,7.430981957975142e-07,1.4360375715207735e-05,5.258923903732778e-06,5.866169527806931e-09,2.9420536163929244e-09,6.946342804392888e-08,1.2364336532274667e-08,1.3887019878930471e-05,0.016175992384993104,5.222129777325878e-09,5.258923901553523e-06,0.004307031694464966,1.1218038093285901e-09,4.97635106877642e-06,2.086320815541331e-06,7.219852981658375e-07,7.43098195797514e-07,5.2221297773259094e-09,10.073386193860179,0.06647340251335854,3.0413024615709996e-09,-1.812604264580167e-10,1.9979645668431767e-13,-8.579499461592084e-09,7.430981957977761e-07,1.4360375715207726e-05,5.25892390155354e-06,0.06647340251335855,1.333360372090034,4.498301667434163e-06,-5.814088307586963e-09,-1.0216294413974698e-09,-6.782577413597707e-08,5.222129769316653e-09,5.258923903732763e-06,0.004307031694464964,3.041302461571014e-09,4.49830166743417e-06,0.008486681265405712,-3.9036926929183323e-10,-4.928227945777505e-06,-2.0600492409277337e-06,1.8583786544873282e-10,5.8661695278069324e-09,1.1218038093285835e-09,-1.8126042645801653e-10,-5.81408830758696e-09,-3.9036926929190106e-10,0.618033998831686,9.318259268330033e-13,-1.2978869018088652e-07,2.159793741353097e-12,2.942053616392911e-09,4.976351068776421e-06,1.997964566843262e-13,-1.0216294413974535e-09,-4.928227945777503e-06,9.318259268331903e-13,6.233401213832953e-07,2.601581374816999e-07,8.739851373456279e-09,6.94634280439289e-08,2.0863208155413316e-06,-8.579499461592082e-09,-6.782577413597709e-08,-2.0600492409277337e-06,-1.297886901814333e-07,2.601581375327733e-07,9.346977062061145
9,-0.6047766725493995,-0.008877738103051975,-0.008652700998252633,-0.5953539974183456,0.02532771157593357,0.026352421535129844,-2.0303870904562524,-1.4056050309428514e-06,0.000679455873620494,0.0,0.0,-0.008403607337919219,0.0,0.0,0.024858804588391625,-2.030501670351149,0.0,0.0,0.0,0.0,0.00024909366033341353,0.0,0.0,0.0014936169467382188,0.00011457989489649378,1.4056050309428514e-06,0.0,11.083368420754521,0.06657204954254708,1.2364337323084282e-08,8.321958153166094e-07,7.437082176771524e-07,5.222128988672206e-09,1.8582744894524495e-10,2.1598922584407284e-12,1.1900669370254258e-08,0.06657204954254706,1.333386948498083,1.3887019881452387e-05,7.437082176767247e-07,1.4360260044447005e-05,5.258923901244985e-06,5.866167182898438e-09,2.942053930422237e-09,7.953872601546615e-08,1.236433732308418e-08,1.3887019881452402e-05,0.016175992385042394,5.2221289996400384e-09,5.258923899084345e-06,0.00430703169441635,1.1218247312481832e-09,4.976351074912966e-06,2.2832053404036518e-06,8.32195815316609e-07,7.437082176767245e-07,5.222128999640126e-09,11.08336693504162,0.06657072180588158,3.041303228510942e-09,-1.8124997168779172e-10,1.9969963951165624e-13,-1.1685774893487795e-08,7.437082176771519e-07,1.4360260044446996e-05,5.258923899084308e-06,0.0665707218058816,1.333361311234364,4.498301669869922e-06,-5.8140860441207056e-09,-1.0216297488556066e-09,-7.769024334567228e-08,5.222128988672146e-09,5.258923901244967e-06,0.0043070316944163484,3.041303228510935e-09,4.49830166986995e-06,0.008486681265453828,-3.9038989165056127e-10,-4.928227951831108e-06,-2.254272629244428e-06,1.8582744894524513e-10,5.866167182898442e-09,1.1218247312481965e-09,-1.8124997168779164e-10,-5.814086044120703e-09,-3.9038989165054473e-10,0.6180339904481645,9.344279600224779e-13,-4.630588984214978e-08,2.1598922584407627e-12,2.942053930422252e-09,4.976351074912965e-06,1.9969963951174156e-13,-1.0216297488555953e-09,-4.928227951831107e-06,9.344279600240722e-13,6.233401221442975e-07,2.846742158158789e-07,1.1900669370254255e-08,7.953872601546617e-08,2.283205340403652e-06,-1.1685774893487796e-08,-7.76902433456723e-08,-2.2542726292444278e-06,-4.630588984140073e-08,2.8467421581135355e-07,10.133549417309972
